raw_class_id,target,class_name,class_family,prompt_id,prompt,total_images,official_train_images,official_test_images
331,23,Black Scoter (Male),Black Scoter,2,a close-up bird photo showing the fine-grained field marks of a Black Scoter (Male).,41,22,19
332,24,Bufflehead (Breeding male),Bufflehead,0,"a photo of a Bufflehead (Breeding male), a North American bird.",106,46,60
332,24,Bufflehead (Breeding male),Bufflehead,1,a field guide photograph of a Bufflehead (Breeding male).,106,46,60
332,24,Bufflehead (Breeding male),Bufflehead,2,a close-up bird photo showing the fine-grained field marks of a Bufflehead (Breeding male).,106,46,60
333,25,Common Goldeneye (Breeding male),Common Goldeneye,0,"a photo of a Common Goldeneye (Breeding male), a North American bird.",105,54,51
333,25,Common Goldeneye (Breeding male),Common Goldeneye,1,a field guide photograph of a Common Goldeneye (Breeding male).,105,54,51
333,25,Common Goldeneye (Breeding male),Common Goldeneye,2,a close-up bird photo showing the fine-grained field marks of a Common Goldeneye (Breeding male).,105,54,51
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,0,"a photo of a Barrow's Goldeneye (Breeding male), a North American bird.",45,10,35
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,1,a field guide photograph of a Barrow's Goldeneye (Breeding male).,45,10,35
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,2,a close-up bird photo showing the fine-grained field marks of a Barrow's Goldeneye (Breeding male).,45,10,35
335,27,Hooded Merganser (Breeding male),Hooded Merganser,0,"a photo of a Hooded Merganser (Breeding male), a North American bird.",106,53,53
335,27,Hooded Merganser (Breeding male),Hooded Merganser,1,a field guide photograph of a Hooded Merganser (Breeding male).,106,53,53
335,27,Hooded Merganser (Breeding male),Hooded Merganser,2,a close-up bird photo showing the fine-grained field marks of a Hooded Merganser (Breeding male).,106,53,53
336,28,Common Merganser (Breeding male),Common Merganser,0,"a photo of a Common Merganser (Breeding male), a North American bird.",63,31,32
336,28,Common Merganser (Breeding male),Common Merganser,1,a field guide photograph of a Common Merganser (Breeding male).,63,31,32
336,28,Common Merganser (Breeding male),Common Merganser,2,a close-up bird photo showing the fine-grained field marks of a Common Merganser (Breeding male).,63,31,32
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,0,"a photo of a Red-breasted Merganser (Breeding male), a North American bird.",77,36,41
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,1,a field guide photograph of a Red-breasted Merganser (Breeding male).,77,36,41
337,29,Red-breasted Merganser (Breeding male),Red-breasted Merganser,2,a close-up bird photo showing the fine-grained field marks of a Red-breasted Merganser (Breeding male).,77,36,41
338,30,California Quail (Male),California Quail,0,"a photo of a California Quail (Male), a North American bird.",116,60,56
338,30,California Quail (Male),California Quail,1,a field guide photograph of a California Quail (Male).,116,60,56
338,30,California Quail (Male),California Quail,2,a close-up bird photo showing the fine-grained field marks of a California Quail (Male).,116,60,56
339,31,Gambel's Quail (Male),Gambel's Quail,0,"a photo of a Gambel's Quail (Male), a North American bird.",71,36,35
339,31,Gambel's Quail (Male),Gambel's Quail,1,a field guide photograph of a Gambel's Quail (Male).,71,36,35
339,31,Gambel's Quail (Male),Gambel's Quail,2,a close-up bird photo showing the fine-grained field marks of a Gambel's Quail (Male).,71,36,35
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,0,"a photo of a Ring-necked Pheasant (Male), a North American bird.",93,46,47
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,1,a field guide photograph of a Ring-necked Pheasant (Male).,93,46,47
340,32,Ring-necked Pheasant (Male),Ring-necked Pheasant,2,a close-up bird photo showing the fine-grained field marks of a Ring-necked Pheasant (Male).,93,46,47
341,33,Red-throated Loon (Breeding),Red-throated Loon,0,"a photo of a Red-throated Loon (Breeding), a North American bird.",23,11,12
341,33,Red-throated Loon (Breeding),Red-throated Loon,1,a field guide photograph of a Red-throated Loon (Breeding).,23,11,12
341,33,Red-throated Loon (Breeding),Red-throated Loon,2,a close-up bird photo showing the fine-grained field marks of a Red-throated Loon (Breeding).,23,11,12
342,34,Pacific Loon (Breeding),Pacific Loon,0,"a photo of a Pacific Loon (Breeding), a North American bird.",31,11,20
342,34,Pacific Loon (Breeding),Pacific Loon,1,a field guide photograph of a Pacific Loon (Breeding).,31,11,20
342,34,Pacific Loon (Breeding),Pacific Loon,2,a close-up bird photo showing the fine-grained field marks of a Pacific Loon (Breeding).,31,11,20
343,35,Common Loon (Breeding),Common Loon,0,"a photo of a Common Loon (Breeding), a North American bird.",94,34,60
343,35,Common Loon (Breeding),Common Loon,1,a field guide photograph of a Common Loon (Breeding).,94,34,60
343,35,Common Loon (Breeding),Common Loon,2,a close-up bird photo showing the fine-grained field marks of a Common Loon (Breeding).,94,34,60
344,36,Horned Grebe (Breeding),Horned Grebe,0,"a photo of a Horned Grebe (Breeding), a North American bird.",76,41,35
344,36,Horned Grebe (Breeding),Horned Grebe,1,a field guide photograph of a Horned Grebe (Breeding).,76,41,35
344,36,Horned Grebe (Breeding),Horned Grebe,2,a close-up bird photo showing the fine-grained field marks of a Horned Grebe (Breeding).,76,41,35
345,37,Red-necked Grebe (Breeding),Red-necked Grebe,0,"a photo of a Red-necked Grebe (Breeding), a North American bird.",54,25,29
345,37,Red-necked Grebe (Breeding),Red-necked Grebe,1,a field guide photograph of a Red-necked Grebe (Breeding).,54,25,29
345,37,Red-necked Grebe (Breeding),Red-necked Grebe,2,a close-up bird photo showing the fine-grained field marks of a Red-necked Grebe (Breeding).,54,25,29
346,38,Eared Grebe (Breeding),Eared Grebe,0,"a photo of a Eared Grebe (Breeding), a North American bird.",73,31,42
346,38,Eared Grebe (Breeding),Eared Grebe,1,a field guide photograph of a Eared Grebe (Breeding).,73,31,42
346,38,Eared Grebe (Breeding),Eared Grebe,2,a close-up bird photo showing the fine-grained field marks of a Eared Grebe (Breeding).,73,31,42
347,39,"Northern Gannet (Adult, Subadult)",Northern Gannet,0,"a photo of a Northern Gannet (Adult, Subadult), a North American bird.",106,46,60
347,39,"Northern Gannet (Adult, Subadult)",Northern Gannet,1,"a field guide photograph of a Northern Gannet (Adult, Subadult).",106,46,60
347,39,"Northern Gannet (Adult, Subadult)",Northern Gannet,2,"a close-up bird photo showing the fine-grained field marks of a Northern Gannet (Adult, Subadult).",106,46,60
348,40,Double-crested Cormorant (Immature),Double-crested Cormorant,0,"a photo of a Double-crested Cormorant (Immature), a North American bird.",109,57,52
348,40,Double-crested Cormorant (Immature),Double-crested Cormorant,1,a field guide photograph of a Double-crested Cormorant (Immature).,109,57,52
348,40,Double-crested Cormorant (Immature),Double-crested Cormorant,2,a close-up bird photo showing the fine-grained field marks of a Double-crested Cormorant (Immature).,109,57,52
349,41,Great Cormorant (Adult),Great Cormorant,0,"a photo of a Great Cormorant (Adult), a North American bird.",75,35,40
349,41,Great Cormorant (Adult),Great Cormorant,1,a field guide photograph of a Great Cormorant (Adult).,75,35,40
349,41,Great Cormorant (Adult),Great Cormorant,2,a close-up bird photo showing the fine-grained field marks of a Great Cormorant (Adult).,75,35,40
350,42,Little Blue Heron (Adult),Little Blue Heron,0,"a photo of a Little Blue Heron (Adult), a North American bird.",120,60,60
350,42,Little Blue Heron (Adult),Little Blue Heron,1,a field guide photograph of a Little Blue Heron (Adult).,120,60,60
350,42,Little Blue Heron (Adult),Little Blue Heron,2,a close-up bird photo showing the fine-grained field marks of a Little Blue Heron (Adult).,120,60,60
351,43,Reddish Egret (Dark morph),Reddish Egret,0,"a photo of a Reddish Egret (Dark morph), a North American bird.",110,58,52
351,43,Reddish Egret (Dark morph),Reddish Egret,1,a field guide photograph of a Reddish Egret (Dark morph).,110,58,52
351,43,Reddish Egret (Dark morph),Reddish Egret,2,a close-up bird photo showing the fine-grained field marks of a Reddish Egret (Dark morph).,110,58,52
352,44,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,0,"a photo of a Black-crowned Night-Heron (Adult), a North American bird.",120,60,60
352,44,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,1,a field guide photograph of a Black-crowned Night-Heron (Adult).,120,60,60
352,44,Black-crowned Night-Heron (Adult),Black-crowned Night-Heron,2,a close-up bird photo showing the fine-grained field marks of a Black-crowned Night-Heron (Adult).,120,60,60
353,45,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,0,"a photo of a Yellow-crowned Night-Heron (Adult), a North American bird.",98,38,60
353,45,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,1,a field guide photograph of a Yellow-crowned Night-Heron (Adult).,98,38,60
353,45,Yellow-crowned Night-Heron (Adult),Yellow-crowned Night-Heron,2,a close-up bird photo showing the fine-grained field marks of a Yellow-crowned Night-Heron (Adult).,98,38,60
354,46,White Ibis (Adult),White Ibis,0,"a photo of a White Ibis (Adult), a North American bird.",118,60,58
354,46,White Ibis (Adult),White Ibis,1,a field guide photograph of a White Ibis (Adult).,118,60,58
354,46,White Ibis (Adult),White Ibis,2,a close-up bird photo showing the fine-grained field marks of a White Ibis (Adult).,118,60,58
355,47,"Bald Eagle (Adult, subadult)",Bald Eagle,0,"a photo of a Bald Eagle (Adult, subadult), a North American bird.",120,60,60
355,47,"Bald Eagle (Adult, subadult)",Bald Eagle,1,"a field guide photograph of a Bald Eagle (Adult, subadult).",120,60,60
355,47,"Bald Eagle (Adult, subadult)",Bald Eagle,2,"a close-up bird photo showing the fine-grained field marks of a Bald Eagle (Adult, subadult).",120,60,60
356,48,Northern Harrier (Adult male),Northern Harrier,0,"a photo of a Northern Harrier (Adult male), a North American bird.",95,35,60
356,48,Northern Harrier (Adult male),Northern Harrier,1,a field guide photograph of a Northern Harrier (Adult male).,95,35,60
356,48,Northern Harrier (Adult male),Northern Harrier,2,a close-up bird photo showing the fine-grained field marks of a Northern Harrier (Adult male).,95,35,60
357,49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,0,"a photo of a Sharp-shinned Hawk (Adult ), a North American bird.",118,60,58
357,49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,1,a field guide photograph of a Sharp-shinned Hawk (Adult ).,118,60,58
357,49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,2,a close-up bird photo showing the fine-grained field marks of a Sharp-shinned Hawk (Adult ).,118,60,58
358,50,Cooper's Hawk (Adult),Cooper's Hawk,0,"a photo of a Cooper's Hawk (Adult), a North American bird.",117,60,57
358,50,Cooper's Hawk (Adult),Cooper's Hawk,1,a field guide photograph of a Cooper's Hawk (Adult).,117,60,57
358,50,Cooper's Hawk (Adult),Cooper's Hawk,2,a close-up bird photo showing the fine-grained field marks of a Cooper's Hawk (Adult).,117,60,57
359,51,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,0,"a photo of a Red-shouldered Hawk (Adult ), a North American bird.",70,32,38
359,51,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,1,a field guide photograph of a Red-shouldered Hawk (Adult ).,70,32,38
359,51,Red-shouldered Hawk (Adult ),Red-shouldered Hawk,2,a close-up bird photo showing the fine-grained field marks of a Red-shouldered Hawk (Adult ).,70,32,38
360,52,Broad-winged Hawk (Adult),Broad-winged Hawk,0,"a photo of a Broad-winged Hawk (Adult), a North American bird.",58,32,26
360,52,Broad-winged Hawk (Adult),Broad-winged Hawk,1,a field guide photograph of a Broad-winged Hawk (Adult).,58,32,26
360,52,Broad-winged Hawk (Adult),Broad-winged Hawk,2,a close-up bird photo showing the fine-grained field marks of a Broad-winged Hawk (Adult).,58,32,26
361,53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,0,"a photo of a Rough-legged Hawk (Dark morph), a North American bird.",50,26,24
361,53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,1,a field guide photograph of a Rough-legged Hawk (Dark morph).,50,26,24
361,53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,2,a close-up bird photo showing the fine-grained field marks of a Rough-legged Hawk (Dark morph).,50,26,24
362,54,Golden Eagle (Adult),Golden Eagle,0,"a photo of a Golden Eagle (Adult), a North American bird.",81,39,42
362,54,Golden Eagle (Adult),Golden Eagle,1,a field guide photograph of a Golden Eagle (Adult).,81,39,42
362,54,Golden Eagle (Adult),Golden Eagle,2,a close-up bird photo showing the fine-grained field marks of a Golden Eagle (Adult).,81,39,42
363,55,American Kestrel (Adult male),American Kestrel,0,"a photo of a American Kestrel (Adult male), a North American bird.",120,60,60
363,55,American Kestrel (Adult male),American Kestrel,1,a field guide photograph of a American Kestrel (Adult male).,120,60,60
363,55,American Kestrel (Adult male),American Kestrel,2,a close-up bird photo showing the fine-grained field marks of a American Kestrel (Adult male).,120,60,60
364,56,Peregrine Falcon (Adult),Peregrine Falcon,0,"a photo of a Peregrine Falcon (Adult), a North American bird.",77,31,46
364,56,Peregrine Falcon (Adult),Peregrine Falcon,1,a field guide photograph of a Peregrine Falcon (Adult).,77,31,46
364,56,Peregrine Falcon (Adult),Peregrine Falcon,2,a close-up bird photo showing the fine-grained field marks of a Peregrine Falcon (Adult).,77,31,46
365,57,Purple Gallinule (Adult),Purple Gallinule,0,"a photo of a Purple Gallinule (Adult), a North American bird.",74,34,40
365,57,Purple Gallinule (Adult),Purple Gallinule,1,a field guide photograph of a Purple Gallinule (Adult).,74,34,40
365,57,Purple Gallinule (Adult),Purple Gallinule,2,a close-up bird photo showing the fine-grained field marks of a Purple Gallinule (Adult).,74,34,40
366,58,Common Gallinule (Adult),Common Gallinule,0,"a photo of a Common Gallinule (Adult), a North American bird.",101,52,49
366,58,Common Gallinule (Adult),Common Gallinule,1,a field guide photograph of a Common Gallinule (Adult).,101,52,49
366,58,Common Gallinule (Adult),Common Gallinule,2,a close-up bird photo showing the fine-grained field marks of a Common Gallinule (Adult).,101,52,49
367,59,Black-bellied Plover (Breeding),Black-bellied Plover,0,"a photo of a Black-bellied Plover (Breeding), a North American bird.",82,47,35
367,59,Black-bellied Plover (Breeding),Black-bellied Plover,1,a field guide photograph of a Black-bellied Plover (Breeding).,82,47,35
367,59,Black-bellied Plover (Breeding),Black-bellied Plover,2,a close-up bird photo showing the fine-grained field marks of a Black-bellied Plover (Breeding).,82,47,35
368,60,Spotted Sandpiper (Breeding),Spotted Sandpiper,0,"a photo of a Spotted Sandpiper (Breeding), a North American bird.",108,57,51
368,60,Spotted Sandpiper (Breeding),Spotted Sandpiper,1,a field guide photograph of a Spotted Sandpiper (Breeding).,108,57,51
368,60,Spotted Sandpiper (Breeding),Spotted Sandpiper,2,a close-up bird photo showing the fine-grained field marks of a Spotted Sandpiper (Breeding).,108,57,51
369,61,Sanderling (Breeding),Sanderling,0,"a photo of a Sanderling (Breeding), a North American bird.",31,12,19
369,61,Sanderling (Breeding),Sanderling,1,a field guide photograph of a Sanderling (Breeding).,31,12,19
369,61,Sanderling (Breeding),Sanderling,2,a close-up bird photo showing the fine-grained field marks of a Sanderling (Breeding).,31,12,19
370,62,Dunlin (Breeding),Dunlin,0,"a photo of a Dunlin (Breeding), a North American bird.",76,41,35
370,62,Dunlin (Breeding),Dunlin,1,a field guide photograph of a Dunlin (Breeding).,76,41,35
370,62,Dunlin (Breeding),Dunlin,2,a close-up bird photo showing the fine-grained field marks of a Dunlin (Breeding).,76,41,35
371,63,Wilson's Phalarope (Breeding),Wilson's Phalarope,0,"a photo of a Wilson's Phalarope (Breeding), a North American bird.",90,37,53
371,63,Wilson's Phalarope (Breeding),Wilson's Phalarope,1,a field guide photograph of a Wilson's Phalarope (Breeding).,90,37,53
371,63,Wilson's Phalarope (Breeding),Wilson's Phalarope,2,a close-up bird photo showing the fine-grained field marks of a Wilson's Phalarope (Breeding).,90,37,53
372,64,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,0,"a photo of a Broad-billed Hummingbird (Adult Male), a North American bird.",89,40,49
372,64,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,1,a field guide photograph of a Broad-billed Hummingbird (Adult Male).,89,40,49
372,64,Broad-billed Hummingbird (Adult Male),Broad-billed Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Broad-billed Hummingbird (Adult Male).,89,40,49
373,65,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,0,"a photo of a Ruby-throated Hummingbird (Adult Male), a North American bird.",100,46,54
373,65,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,1,a field guide photograph of a Ruby-throated Hummingbird (Adult Male).,100,46,54
373,65,Ruby-throated Hummingbird (Adult Male),Ruby-throated Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Ruby-throated Hummingbird (Adult Male).,100,46,54
374,66,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,0,"a photo of a Black-chinned Hummingbird (Adult Male), a North American bird.",101,51,50
374,66,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,1,a field guide photograph of a Black-chinned Hummingbird (Adult Male).,101,51,50
374,66,Black-chinned Hummingbird (Adult Male),Black-chinned Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Black-chinned Hummingbird (Adult Male).,101,51,50
375,67,Anna's Hummingbird (Adult Male),Anna's Hummingbird,0,"a photo of a Anna's Hummingbird (Adult Male), a North American bird.",113,59,54
375,67,Anna's Hummingbird (Adult Male),Anna's Hummingbird,1,a field guide photograph of a Anna's Hummingbird (Adult Male).,113,59,54
375,67,Anna's Hummingbird (Adult Male),Anna's Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Anna's Hummingbird (Adult Male).,113,59,54
376,68,Costa's Hummingbird (Adult Male),Costa's Hummingbird,0,"a photo of a Costa's Hummingbird (Adult Male), a North American bird.",74,37,37
376,68,Costa's Hummingbird (Adult Male),Costa's Hummingbird,1,a field guide photograph of a Costa's Hummingbird (Adult Male).,74,37,37
376,68,Costa's Hummingbird (Adult Male),Costa's Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Costa's Hummingbird (Adult Male).,74,37,37
377,69,Calliope Hummingbird (Adult Male),Calliope Hummingbird,0,"a photo of a Calliope Hummingbird (Adult Male), a North American bird.",78,37,41
377,69,Calliope Hummingbird (Adult Male),Calliope Hummingbird,1,a field guide photograph of a Calliope Hummingbird (Adult Male).,78,37,41
377,69,Calliope Hummingbird (Adult Male),Calliope Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Calliope Hummingbird (Adult Male).,78,37,41
378,70,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,0,"a photo of a Broad-tailed Hummingbird (Adult Male), a North American bird.",81,37,44
378,70,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,1,a field guide photograph of a Broad-tailed Hummingbird (Adult Male).,81,37,44
378,70,Broad-tailed Hummingbird (Adult Male),Broad-tailed Hummingbird,2,a close-up bird photo showing the fine-grained field marks of a Broad-tailed Hummingbird (Adult Male).,81,37,44
379,71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,0,"a photo of a Rufous Hummingbird (Adult Male), a North American bird.",93,43,50
379,71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,1,a field guide photograph of a Rufous Hummingbird (Adult Male).,93,43,50
