class_id,class_label,base_species_or_group,label_type,coverage_status,recommended_name,recommended_url,notes,expert_description_status,expert_visual_description,expert_description_source,source_page_verified_in_this_pass,expert_description_sections,description_notes,safe_use_note
17,Owls,Owls,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
18,Nightjars,Nightjars,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
19,Swifts and Hummingbirds,Swifts and Hummingbirds,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
20,Kingfishers and Allies,Kingfishers and Allies,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
21,Woodpeckers,Woodpeckers,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
22,Perching Birds,Perching Birds,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
23,Black-bellied Plover,Black-bellied Plover,species_label,likely_covered_species_page,Black-bellied Plover,https://www.allaboutbirds.org/guide/Black-bellied_Plover/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""chunky body"", ""large head"", ""short thick bill"", ""long pointed wings"", ""moderately long legs"", ""black-and-white checkered upperwings"", ""black face"", ""black belly"", ""white crown"", ""white nape"", ""white undertail"", ""dark legs"", ""dark bill"", ""pale gray upperparts"", ""grayish whitish underparts"", ""scaly-looking back"", ""black armpits""]",https://www.allaboutbirds.org/guide/Black-bellied_Plover/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
24,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,species_label,likely_covered_species_page,Black-bellied Whistling-Duck,https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large goose-body"", ""long neck"", ""long legs"", ""short tail"", ""dark plumage"", ""chestnut breast"", ""black belly"", ""bright-pink bill"", ""chestnut legs"", ""grayish face"", ""broad white wing"", ""grayish stripe""]",https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
25,Tyrant Flycatchers,Tyrant Flycatchers,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
26,Semipalmated Plover,Semipalmated Plover,species_label,likely_covered_species_page,Semipalmated Plover,https://www.allaboutbirds.org/guide/Semipalmated_Plover/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""small compact body"", ""round head"", ""large eye"", ""short neck"", ""medium-length legs"", ""brown upperparts"", ""white underparts"", ""one black band"", ""white breast"", ""black eye"", ""black upperparts"", ""black bill"", ""white band"", ""black collar"", ""short orange bill"", ""black face"", ""brown breast"", ""black band""]",https://www.allaboutbirds.org/guide/Semipalmated_Plover/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
27,Greater White-fronted Goose,Greater White-fronted Goose,species_label,likely_covered_species_page,Greater White-fronted Goose,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""medium-sized body"", ""heavy body"", ""small bill"", ""thick legs"", ""short neck"", ""brown plumage"", ""pinkish-orange bill"", ""thin white line"", ""orangish legs""]",https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
28,Black Vulture,Black Vulture,species_label,likely_covered_species_page,Black Vulture,https://www.allaboutbirds.org/guide/Black_Vulture/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large raptors"", ""rounded body"", ""narrow strongly hooked bill"", ""white patches""]",https://www.allaboutbirds.org/guide/Black_Vulture/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
29,American White Pelican,American White Pelican,species_label,likely_covered_species_page,American White Pelican,https://www.allaboutbirds.org/guide/American_White_Pelican/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""huge waterbird"", ""broad wings"", ""long neck"", ""long bill"", ""thick body"", ""short legs"", ""short square tail"", ""snowy white plumage"", ""black flight feathers"", ""small patch""]",https://www.allaboutbirds.org/guide/American_White_Pelican/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
30,Killdeer,Killdeer,species_label,likely_covered_species_page,Killdeer,https://www.allaboutbirds.org/guide/Killdeer/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large round head"", ""large eye"", ""short bill"", ""slender body"", ""lanky body"", ""long pointed tail"", ""long wings"", ""brownish-tan upperparts"", ""white underparts"", ""white chest"", ""two black bands"", ""brown face"", ""black-and-white patches"", ""bright orange-buff rump""]",https://www.allaboutbirds.org/guide/Killdeer/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
31,Red-headed Woodpecker,Red-headed Woodpecker,species_label,likely_covered_species_page,Red-headed Woodpecker,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""medium-sized body"", ""large body"", ""rounded head"", ""rounded tail"", ""spike-like bill"", ""bright-red head"", ""white underparts"", ""black back"", ""large white patches"", ""black wings"", ""gray-brown head"", ""white wing"", ""gray-brown patches"", ""black spots""]",https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
32,Shrikes,Shrikes,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
33,Snow Goose,Snow Goose,species_label,likely_covered_species_page,Snow Goose,https://www.allaboutbirds.org/guide/Snow_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""medium-sized body"", ""hefty bill"", ""long thick neck"", ""white body"", ""black wingtips"", ""pink bill"", ""dark line"", ""dark patch"", ""blue white face"", ""dark brown body"", ""white undertail""]",https://www.allaboutbirds.org/guide/Snow_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
34,Chimney Swift,Chimney Swift,species_label,likely_covered_species_page,Chimney Swift,https://www.allaboutbirds.org/guide/Chimney_Swift/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""small slender body"", ""long narrow curved wings"", ""round head"", ""short neck"", ""short tapered tail"", ""wide bill"", ""dark gray-brown plumage""]",https://www.allaboutbirds.org/guide/Chimney_Swift/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
35,American Oystercatcher,American Oystercatcher,species_label,likely_covered_species_page,American Oystercatcher,https://www.allaboutbirds.org/guide/American_Oystercatcher/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large thickset body"", ""large head"", ""large neck"", ""long thick legs"", ""black plumage"", ""bright orange-red bill"", ""black head"", ""black breast"", ""white underparts"", ""yellow eye"", ""red eyering""]",https://www.allaboutbirds.org/guide/American_Oystercatcher/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
36,Ross's Goose,Ross's Goose,species_label,likely_covered_species_page,Ross's Goose,https://www.allaboutbirds.org/guide/Rosss_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""small stocky body"", ""short neck"", ""short bill"", ""white black wingtips"", ""dark body"", ""dark wings"", ""white face"", ""white tinged plumage"", ""gray dark bill""]",https://www.allaboutbirds.org/guide/Rosss_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
37,Barn Owl,Barn Owl,species_label,likely_covered_species_page,Barn Owl,https://www.allaboutbirds.org/guide/Barn_Owl/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""medium-sized body"", ""rounded wings"", ""short tail"", ""pale plumage"", ""dark eye"", ""buff gray head"", ""buff gray back"", ""buff-gray upperwing feathers"", ""white face"", ""white body"", ""white underwings""]",https://www.allaboutbirds.org/guide/Barn_Owl/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
38,Vireos,Vireos,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
39,Black Oystercatcher,Black Oystercatcher,species_label,likely_covered_species_page,Black Oystercatcher,https://www.allaboutbirds.org/guide/Black_Oystercatcher/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large heavyset body"", ""long thick straight bill"", ""thick body"", ""orange-red bill"", ""yellow eye"", ""red plumage"", ""brownish plumage""]",https://www.allaboutbirds.org/guide/Black_Oystercatcher/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
40,Turkey Vulture,Turkey Vulture,species_label,likely_covered_species_page,Turkey Vulture,https://www.allaboutbirds.org/guide/Turkey_Vulture/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""dark large dark long broad wings"", ""red head"", ""pale bill""]",https://www.allaboutbirds.org/guide/Turkey_Vulture/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
41,Brown Pelican,Brown Pelican,species_label,likely_covered_species_page,Brown Pelican,https://www.allaboutbirds.org/guide/Brown_Pelican/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""huge body"", ""stocky seabirds"", ""thin neck"", ""long bill"", ""long throat"", ""gray-brown yellow head"", ""white neck"", ""dark reddish-brown plumage"", ""gray-brown upperparts"", ""pale whitish belly"", ""pale whitish breast""]",https://www.allaboutbirds.org/guide/Brown_Pelican/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
42,Brant,Brant,species_label,likely_covered_species_page,Brant,https://www.allaboutbirds.org/guide/Brant/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""compact body"", ""short neck"", ""black head"", ""black neck"", ""black breast"", ""white neck"", ""brown wings"", ""white undertail"", ""pale flank"", ""pale belly""]",https://www.allaboutbirds.org/guide/Brant/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
43,Scaled Quail,Scaled Quail,species_label,likely_covered_species_page,Scaled Quail,https://www.allaboutbirds.org/guide/Scaled_Quail/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""compact chicken-body"", ""small head"", ""short crest"", ""plump body"", ""short tail"", ""short strong legs"", ""buff plumage""]",https://www.allaboutbirds.org/guide/Scaled_Quail/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
44,Northern Gannet,Northern Gannet,species_label,likely_covered_species_page,Northern Gannet,https://www.allaboutbirds.org/guide/Northern_Gannet/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""heavy body"", ""long pointed wings"", ""long pointed tail"", ""long pointed bill"", ""snow white plumage"", ""black wingtips"", ""yellow head"", ""uniformly sooty brown plumage"", ""appearing patchwork dark plumage"", ""light feathering""]",https://www.allaboutbirds.org/guide/Northern_Gannet/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
45,Rock Pigeon,Rock Pigeon,species_label,likely_covered_species_page,Rock Pigeon,https://www.allaboutbirds.org/guide/Rock_Pigeon/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""broad pointed wings"", ""broad pointed tail"", ""rounded body"", ""most bluish gray plumage"", ""two black bands"", ""two black tail"", ""iridescent throat"", ""two bars"", ""dark spots""]",https://www.allaboutbirds.org/guide/Rock_Pigeon/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
46,Black-necked Stilt,Black-necked Stilt,species_label,likely_covered_species_page,Black-necked Stilt,https://www.allaboutbirds.org/guide/Black-necked_Stilt/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""small body"", ""long legs"", ""long neck"", ""small head"", ""thin straight bill"", ""black upperparts"", ""white underparts"", ""white eye"", ""pink legs"", ""brownish-black plumage""]",https://www.allaboutbirds.org/guide/Black-necked_Stilt/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
47,Acorn Woodpecker,Acorn Woodpecker,species_label,likely_covered_species_page,Acorn Woodpecker,https://www.allaboutbirds.org/guide/Acorn_Woodpecker/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""medium-sized body"", ""straight spike-like bill"", ""wedge-shaped tail"", ""black upperparts"", ""red cap"", ""creamy white face"", ""black patch"", ""creamy white bill"", ""red crown""]",https://www.allaboutbirds.org/guide/Acorn_Woodpecker/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
48,"Jays, Magpies, and Crows","Jays, Magpies, and Crows",group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,[],https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
49,Pied-billed Grebe,Pied-billed Grebe,species_label,likely_covered_species_page,Pied-billed Grebe,https://www.allaboutbirds.org/guide/Pied-billed_Grebe/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""small chunky swimming body"", ""compact body"", ""slender neck"", ""large body"", ""slender head"", ""short thick bill"", ""tawny-brown underparts""]",https://www.allaboutbirds.org/guide/Pied-billed_Grebe/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
50,American Avocet,American Avocet,species_label,likely_covered_species_page,American Avocet,https://www.allaboutbirds.org/guide/American_Avocet/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""large slender body"", ""long upturned bill"", ""long neck"", ""round head"", ""long legs"", ""rusty head"", ""rusty neck"", ""black patch"", ""black-and-white wings"", ""white body""]",https://www.allaboutbirds.org/guide/American_Avocet/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
51,Cackling Goose,Cackling Goose,species_label,likely_covered_species_page,Cackling Goose,https://www.allaboutbirds.org/guide/Cackling_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"[""compact body"", ""small short neck"", ""rounded crown"", ""long wings"", ""short legs"", ""small bill"", ""small forehead"", ""brown plumage"", ""black neck"", ""black head"", ""white cheek"", ""white throat"", ""white undertail"", ""blackish bill"", ""blackish legs"", ""blackish feet""]",https://www.allaboutbirds.org/guide/Cackling_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
